BoardDistrict,Reading2013
schools,
schools.d1,
schools.d1.s01,48
schools.d1.s02,35
schools.d1.s03,39
schools.d1.s04,39
schools.d1.s05,30
schools.d1.s06,32
schools.d1.s07,47
schools.d1.s08,46
schools.d1.s09,43
schools.d1.s10,26
schools.d1.s11,56
schools.d1.s12,43
schools.d1.s13,41
schools.d1.s14,43
schools.d1.s15,29
schools.d1.s16,41
schools.d1.s17,43
schools.d1.s18,43
schools.d1.s19,44
schools.d1.s20,38
schools.d1.s21,38
schools.d1.s22,37
schools.d1.s23,36
schools.d1.s24,58
schools.d1.s25,44
schools.d1.s26,27
schools.d1.s27,52
schools.d1.s28,47
schools.d1.s29,46
schools.d1.s30,39
schools.d1.s31,40
schools.d1.s32,42
schools.d1.s33,85
schools.d1.s34,27
schools.d1.s35,36
schools.d1.s36,42
schools.d1.s37,39
schools.d1.s38,44
schools.d1.s39,22
schools.d1.s40,28
schools.d1.s41,43
schools.d1.s42,41
schools.d1.s43,34
schools.d1.s44,35
schools.d1.s45,26
schools.d1.s46,6
schools.d1.s47,10
schools.d1.s48,6
schools.d1.s49,26
schools.d1.s50,29
schools.d1.s51,34
schools.d1.s52,14
schools.d1.s53,10
2,29
2,32
2,44
2,29
2,49
2,16
2,30
2,29
2,26
2,25
2,39
2,52
2,33
2,32
2,33
2,50
2,19
2,44
2,26
2,28
2,39
2,26
2,21
2,63
2,51
2,47
2,35
2,83
2,35
2,33
2,43
2,21
2,34
2,28
2,41
2,37
2,32
2,36
2,20
2,25
2,79
2,72
2,24
2,34
2,26
2,26
2,23
2,39
2,27
2,36
2,81
2,54
2,83
2,95
2,19
2,20
2,24
2,29
2,93
2,57
2,20
2,33
2,38
2,18
2,9
2,9
2,4
2,3
2,10
2,12
2,8
2,10
3,72
3,68
3,75
3,42
3,51
3,86
3,45
3,73
3,58
3,81
3,72
3,64
3,47
3,56
3,73
3,62
3,80
3,84
3,59
3,53
3,63
3,55
3,54
3,52
3,58
3,56
3,36
3,88
4,70
4,68
4,76
4,55
4,69
4,61
4,54
4,55
4,64
4,61
4,62
4,57
4,68
4,51
4,48
4,58
4,52
4,49
4,64
4,56
4,64
4,69
4,56
4,72
4,75
4,74
4,51
4,42
4,43
4,51
4,55
4,47
4,43
4,62
4,40
4,89
4,67
4,43
4,36
4,66
4,41
4,40
4,64
4,47
4,86
4,69
4,49
5,69
5,35
5,64
5,82
5,41
5,32
5,59
5,54
5,64
5,49
5,42
5,49
5,97
5,81
5,27
5,45
5,66
5,54
5,62
5,80
5,71
5,53
5,68
5,61
5,95
5,32
5,73
5,81
5,53
5,91
5,48
5,55
5,44
5,46
5,85
5,6
5,74
5,19
5,68
5,56
5,47
6,51
6,56
6,41
6,67
6,85
6,59
6,84
6,68
6,82
6,69
6,77
6,88
6,50
6,35
6,44
6,54
6,84
6,37
6,51
6,47
6,78
6,63
6,68
6,91
6,20
6,70
6,50
6,88
6,57
6,76
6,86
6,95
6,49
6,26
6,62
6,59
6,50
6,79
6,71
6,29
6,60
6,69
6,75
6,53
6,85
6,55
6,60
6,92
6,55
6,38
6,85
6,19
6,48
7,67
7,71
7,75
7,56
7,79
7,79
7,67
7,74
7,78
7,67
7,63
7,71
7,69
7,77
7,70
7,82
7,74
7,62
7,55
7,70
7,72
7,54
7,47
7,69
7,91
7,74
7,74
7,65
7,58
7,59
7,78
7,91
7,49
7,64
7,65
7,60
7,12
8,74
8,80
8,61
8,69
8,72
8,87
8,80
8,79
8,50
8,65
8,65
8,68
8,76
8,55
8,58
8,73
8,63
8,64
8,62
8,61
8,71
8,55
8,62
8,63
8,71
8,62
8,82
8,71
8,70
8,50
8,60
8,58
8,67
8,95
8,75
8,61
8,53
8,61
8,72
8,40
8,56
8,61
8,96
8,47
8,48
8,39
8,54
9,80
9,73
9,50
9,32
9,41
9,33
9,32
9,40
9,66
9,57
9,38
9,29
9,42
9,46
9,64
9,82
9,61
9,42
9,65
9,55
9,71
9,42
9,35
9,87
9,35
9,55
9,41
9,62
9,46
9,77
9,67
9,44
9,82
9,43
9,24
9,51
9,28
9,22
9,38
9,32
9,81
9,26
9,68
9,47
9,31
9,66
9,68
9,36
9,50
9,28
9,43
9,28
9,31
9,36
9,72
9,33
9,46
9,68
9,38
9,50
9,13
9,66
9,49
9,31
9,44
9,9
9,88
9,29
9,81
9,48
9,69
9,10
9,35
9,35
9,14
